"#";"Url";"Type";"Anchor";"No-follow";"Google cachedate";"Facebook likes";"Google index";"Yahoo index";"Bing index";"Alexa rank";"SEMrush Rank";"SEMrush SE Traffic";"SEMrush backlinks"
"180";"https://bgoonz-blog.netlify.app/docs/reference/vscode/";"text";"vscode";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"181";"https://bgoonz-blog.netlify.app/docs/reference/awesome-lists/";"text";"Awesome Lists";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"182";"https://bgoonz-blog.netlify.app/docs/reference/github-search/";"text";"Github Search";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"183";"https://bgoonz-blog.netlify.app/docs/reference/web-api's/";"text";"Web Apis";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"184";"https://bgoonz-blog.netlify.app/docs/reference/bookmarks/";"text";"Web Dev Bookmarks";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"185";"https://bgoonz-blog.netlify.app/docs/tools/";"text";"Tools";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"186";"https://bgoonz-blog.netlify.app/docs/tools/data-structures/";"text";"Data Structures";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"187";"https://bgoonz-blog.netlify.app/docs/tools/Archive/";"text";"Archive";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"188";"https://bgoonz-blog.netlify.app/docs/tools/dev-utilities/";"text";"General Utilities";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"189";"https://bgoonz-blog.netlify.app/docs/tools/markdown-html/";"text";"md and html";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"190";"https://bgoonz-blog.netlify.app/docs/tips/";"text";"Tips";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"191";"https://bgoonz-blog.netlify.app/docs/tips/array-methods/";"text";"Tips";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"192";"https://bgoonz-blog.netlify.app/docs/tips/insert-into-array/";"text";"Insert Into Array";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"193";"https://bgoonz-blog.netlify.app/docs/tutorials/";"text";"Tutorials";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"194";"https://bgoonz-blog.netlify.app/docs/tutorials/enviorment-setup/";"text";"Enviorment Setup Tutorial";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"195";"https://bgoonz-blog.netlify.app/docs/privacy-policy/";"text";"Facebook";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"0"
"";"";"text";"Twitter";"No"
"";"";"text";"Print";"No"
"";"";"text";"Email";"No"
"";"";"text";"Pinterest";"No"
"";"";"text";"Gmail";"No"
"";"";"text";"LinkedIn";"No"
"";"";"text";"";"No"
